Div,Date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,wknd_ornot,match_day,bet_pred,odds_actual_comp,concat,ht_rank,at_rank,rank_diff,Home_$,Draw_$,Away_$,Home_correct,Draw_correct,Away_correct,matchday_Monday,matchday_Saturday,matchday_Sunday,matchday_Thursday,matchday_Tuesday,matchday_Wednesday,ref_A Madley,ref_A Marriner,ref_A Moss,ref_A Taylor,ref_A Wiley,ref_B Knight,ref_C Foy,ref_C Kavanagh,ref_C Pawson,ref_D Coote,ref_D England,ref_D Gallagher,ref_G Poll,ref_G Scott,ref_H Webb,ref_I Williamson,ref_J Moss,ref_K Friend,ref_K Stroud,ref_L Mason,ref_L Probert,ref_M Atkinson,ref_M Clattenburg,ref_M Dean,ref_M Halsey,ref_M Jones,ref_M Oliver,ref_M Riley,ref_N Swarbrick,ref_O Langford,ref_P Bankes,ref_P Dowd,ref_P Tierney,ref_P Walton,ref_R Beeby,ref_R East,ref_R Jones,ref_R Madley,ref_R Styles,ref_S Attwell,ref_S Bennett,ref_S Hooper,ref_S Scott,ref_S Tanner,ref_T Robinson,ref_U Rennie,ref_l Mason
E0,2005-10-09,Newcastle,Fulham,1,1,0,0,1,A,A Wiley,15,13,10,8,19,16,10,8,4,1,1,0,1.61,3.4,6.0,2006,1,Saturday,Home,0,38605NewcastleFulham,7,12,5,-1.0,3.4,-1.0,N,Y,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-10-09,Everton,Portsmouth,0,1,1,0,0,D,M Atkinson,11,12,6,8,10,12,11,6,2,1,0,0,1.72,3.3,5.0,2006,1,Saturday,Home,0,38605EvertonPortsmouth,11,17,6,-1.0,-1.0,5.0,N,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-10-09,Middlesbrough,Arsenal,2,1,2,1,0,H,M Riley,6,13,5,8,17,16,6,7,3,4,0,0,5.0,3.3,1.72,2006,1,Saturday,Away,0,38605MiddlesbroughArsenal,14,4,10,5.0,-1.0,-1.0,Y,N,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-10-09,Birmingham,Charlton,0,1,1,0,1,A,M Halsey,18,8,5,4,9,10,13,4,0,2,0,0,2.37,3.25,2.87,2006,1,Saturday,Home,0,38605BirminghamCharlton,18,13,5,-1.0,-1.0,2.87,N,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-10-09,Tottenham,Liverpool,0,0,0,0,0,D,H Webb,10,11,7,6,16,13,4,4,1,1,0,0,2.5,3.2,2.75,2006,1,Saturday,Home,0,38605TottenhamLiverpool,5,3,2,-1.0,3.2,-1.0,N,Y,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-10-09,West Brom,Wigan,1,2,1,1,1,D,M Clattenburg,10,9,5,4,19,15,5,0,3,1,0,0,2.0,3.2,3.75,2006,1,Saturday,Home,0,38605West BromWigan,19,10,9,-1.0,-1.0,3.75,N,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-11-09,Bolton,Blackburn,0,0,0,0,0,D,G Poll,12,7,6,3,18,17,4,4,1,2,0,0,2.0,3.2,3.75,2006,1,Sunday,Home,0,38606BoltonBlackburn,8,6,2,-1.0,3.2,-1.0,N,Y,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-12-09,West Ham,Aston Villa,4,0,2,2,0,H,R Styles,14,14,9,8,15,12,4,11,0,1,0,0,2.5,3.2,2.75,2006,0,Monday,Home,1,38607West HamAston Villa,9,16,7,2.5,-1.0,-1.0,Y,N,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E0,2005-09-17,Charlton,Chelsea,0,2,1,0,0,D,H Webb,11,16,4,11,11,10,2,7,0,2,0,0,6.0,3.6,1.57,2006,1,Saturday,Away,1,38612CharltonChelsea,13,1,12,-1.0,-1.0,1.57,N,N,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2005-09-17,Aston Villa,Tottenham,1,1,0,1,0,H,S Bennett,13,13,6,7,14,14,4,3,1,2,0,0,2.6,3.25,2.6,2006,1,Saturday,Home,0,38612Aston VillaTottenham,16,5,11,-1.0,3.25,-1.0,N,Y,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
